sample_id,status,transcription_text,segment_count,word_count,audio_duration_s,source_audio_start_s,language_probability,mean_word_probability,timestamp_issue_count,result_path
-3g5yACwYnA$_$13,已完成,that we do. They have been able to find solutions or at least bring some answers to the table.,1,19,5.399,0.0,1.0,0.9617785497715599,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-3g5yACwYnA$_$13_Whisper_small.en.json
-3g5yACwYnA$_$3,已完成,"We're a huge user of adhesives for our operation called flocking, and we don't have the technical insight in for compounding or the technical expertise to do these types of things. So, key brings.",3,34,14.327875,0.0,1.0,0.8748219807942709,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-3g5yACwYnA$_$3_Whisper_small.en.json
-3g5yACwYnA$_$2,已完成,key polymer brings a technical aspect to our operation that we don't have internally.,1,14,9.231,0.0,1.0,0.8426443764141628,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-3g5yACwYnA$_$2_Whisper_small.en.json
-3g5yACwYnA$_$9,已完成,"Like, we have many new opportunities through the way things have changed through the years, looking for new niche, high-end value-added products.",2,24,8.696,0.0,1.0,0.9232148267328739,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-3g5yACwYnA$_$9_Whisper_small.en.json
-3nNcZdcdvU$_$5,已完成,Non-compliance can result in legal liability to you and to the school district in which you are employed.,1,19,7.788,0.0,1.0,0.9399885111733487,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-3nNcZdcdvU$_$5_Whisper_small.en.json
-HwX2H8Z4hY$_$2,已完成,mediocrity. Look at the record.,2,5,3.9158125,0.0,1.0,0.9574025273323059,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-HwX2H8Z4hY$_$2_Whisper_small.en.json
-HwX2H8Z4hY$_$5,已完成,President Ronald Reagan blamed the professional bureaucracy of education.,1,9,5.544,0.0,1.0,0.9497733049922519,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-HwX2H8Z4hY$_$5_Whisper_small.en.json
-HwX2H8Z4hY$_$6,已完成,"And in part, Al Schenker did too.",1,7,3.256,0.0,1.0,0.8655541085061573,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-HwX2H8Z4hY$_$6_Whisper_small.en.json
-HwX2H8Z4hY$_$9,已完成,It is a word with which the administrator uses when he turns around anything which he doesn't like the teacher is doing he says you,1,25,7.6363125,0.0,1.0,0.8429640901088714,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-HwX2H8Z4hY$_$9_Whisper_small.en.json
-NFrJFQijFE$_$1,已运行但无文本输出,,0,0,5.658875,0.0,1.0,,1,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-NFrJFQijFE$_$1_Whisper_small.en.json
-NFrJFQijFE$_$2,已完成,"Hock's sense of hearing is excellent, and their eyes are",1,10,6.698,0.0,1.0,0.8848938559492429,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-NFrJFQijFE$_$2_Whisper_small.en.json
-THoVjtIkeU$_$12,已完成,"Whatever we turn our attention to is what grows. And so if we believe that anything is possible, if we believe that social justice can be achieved, and if we believe in youth, they will believe in themselves.",3,38,14.805,0.0,1.0,0.9670957358259904,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-THoVjtIkeU$_$12_Whisper_small.en.json
-THoVjtIkeU$_$2,已完成,I think social justice is extremely important for young people.,1,10,4.23,0.0,1.0,0.9801799476146698,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-THoVjtIkeU$_$2_Whisper_small.en.json
-THoVjtIkeU$_$6,已完成,"I think that listening to young people, taking in what they have to say, because what we've seen all around the world is the power of youth.",1,27,7.982875,0.0,1.0,0.9426043875239514,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-THoVjtIkeU$_$6_Whisper_small.en.json
-UuX1xuaiiE$_$1,已完成,And all of them are really being able to explore these different areas in depth in a way that really wasn't available before the center was here.,1,27,10.267,0.0,1.0,0.9340696997112699,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-UuX1xuaiiE$_$1_Whisper_small.en.json
-UuX1xuaiiE$_$0,已完成,It's amazing to see their enthusiasm and their passion.,1,9,3.575875,0.0,1.0,0.9678224921226501,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-UuX1xuaiiE$_$0_Whisper_small.en.json
-UuX1xuaiiE$_$3,已完成,My goal is to become a human rights lawyer.,1,9,4.038,0.0,1.0,0.9369838701354133,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-UuX1xuaiiE$_$3_Whisper_small.en.json
-UuX1xuaiiE$_$6,已完成,"I ended up going to work for the U.S. government as an intelligence analyst, specializing in war crimes and human rights issues.",2,23,7.9438125,0.0,1.0,0.9544480015402255,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-UuX1xuaiiE$_$6_Whisper_small.en.json
-a55Q6RWvTA$_$3,已完成,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature, and try to take up things in life that, well, they always say, the best things in life are free. Reading a book, going for a nice walk, and of course combining exercise and various things of that nature, where you're not spending money, per se.",4,65,22.0833125,0.0,1.0,0.9579004480288579,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-a55Q6RWvTA$_$3_Whisper_small.en.json
-aNfi7CP8vM$_$7,已完成,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",1,18,8.5376875,0.0,1.0,0.9292787031994926,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-aNfi7CP8vM$_$7_Whisper_small.en.json
-aqamKhZ1Ec$_$0,已完成,"In 2008, there were very serious tribal warfare in Kenya and even following a disputed election.",1,16,10.89,0.0,1.0,0.8553962474688888,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-aqamKhZ1Ec$_$0_Whisper_small.en.json
-dxfTGcXJoc$_$1,已完成,"For the tenth straight year, some of Kentucky's best and most innovative biotech companies and technologies were on display at the annual Bio International Convention, which I and other state officials attended this week in Chicago.",3,36,16.018125,0.0,1.0,0.9561508629057143,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-dxfTGcXJoc$_$1_Whisper_small.en.json
-dxfTGcXJoc$_$0,已完成,"This is Governor Steve Beshear ... About Kentucky. Our state is home to more than 1,500 bioscience and life science companies, and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices. For more information, visit www.fema.gov",5,51,20.41,0.0,1.0,0.8798443175200982,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-dxfTGcXJoc$_$0_Whisper_small.en.json
-dxfTGcXJoc$_$2,已完成,"An estimated 20,000 biotech scientists, executives, and industry experts from more than 50 nations were at the bio conference to learn about the latest scientific advances and to exchange ideas and establish business relationships.",3,35,16.633,0.0,1.0,0.9445508394922529,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-dxfTGcXJoc$_$2_Whisper_small.en.json
-dxfTGcXJoc$_$6,已完成,Kentucky's participation at the annual Bio-International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,2,28,12.628,0.0,1.0,0.9642099913741861,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-dxfTGcXJoc$_$6_Whisper_small.en.json
-egA8-b7-3M$_$26,已完成,We are updating it all the time and looking forward to your comments on our videos.,1,16,5.92,0.0,1.0,0.9093437008559704,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-egA8-b7-3M$_$26_Whisper_small.en.json
-egA8-b7-3M$_$17,已完成,"As you have more experience, you have more times exhibiting, you get to know more people.",1,16,7.095,0.0,1.0,0.9680566564202309,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-egA8-b7-3M$_$17_Whisper_small.en.json
-egA8-b7-3M$_$18,已完成,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,1,22,8.2656875,0.0,1.0,0.9676844680851157,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-egA8-b7-3M$_$18_Whisper_small.en.json
-egA8-b7-3M$_$16,已完成,"Third, another big benefit of exhibiting is connecting with existing clients.",1,11,5.483,0.0,1.0,0.9824896671555259,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-egA8-b7-3M$_$16_Whisper_small.en.json
-egA8-b7-3M$_$13,已完成,What are you doing that's different? They always want an answer.,1,11,4.023875,0.0,1.0,0.9460050626234575,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-egA8-b7-3M$_$13_Whisper_small.en.json
-egA8-b7-3M$_$1,已完成,I have started a successful legal nurse consulting business in 1989. I mentor nurses who want to become legal nurse consultants.,2,21,10.156,0.0,1.0,0.9535920719305674,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-egA8-b7-3M$_$1_Whisper_small.en.json
-egA8-b7-3M$_$6,已完成,"First, exhibiting is a wonderful opportunity to network with other legal vendors.",1,12,6.183,0.0,1.0,0.9869063744942347,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-egA8-b7-3M$_$6_Whisper_small.en.json
-egA8-b7-3M$_$9,已完成,"Secondly, another goal of exhibiting is building your company image.",1,10,4.936,0.0,1.0,0.9851189196109772,0,C:\Users\Administrator\Desktop\23华为杯\E.1\结果\03_Whisper_small_en\逐样本\-egA8-b7-3M$_$9_Whisper_small.en.json
