sample_id,video_id,clip_id,source_excel_row,video_relative_path,text,label,annotation,sha256
-3g5yACwYnA$_$13,-3g5yACwYnA,13,2,-3g5yACwYnA/13.mp4,They've been able to find solutions or at least bring some answers to the table.,0.6666666865348816,Positive,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f
-3g5yACwYnA$_$3,-3g5yACwYnA,3,3,-3g5yACwYnA/3.mp4,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",0.0,Neutral,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d
-3g5yACwYnA$_$2,-3g5yACwYnA,2,4,-3g5yACwYnA/2.mp4,Key Polymer brings a technical aspect to our operation that we don't have internally.,0.0,Neutral,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7
-3g5yACwYnA$_$9,-3g5yACwYnA,9,5,-3g5yACwYnA/9.mp4,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",0.6666666865348816,Positive,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,6,-3nNcZdcdvU/5.mp4,Noncompliance can result in legal liability to you and to the school district in which you are employed.,0.0,Neutral,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,7,-HwX2H8Z4hY/2.mp4,"” [President Ronald Reagan:] ""Look at the record",0.0,Neutral,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,8,-HwX2H8Z4hY/5.mp4,""" President Ronald Reagan blamed the professional bureaucracy of education",-1.0,Negative,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,9,-HwX2H8Z4hY/6.mp4,"And in part, Al Shanker did too",0.0,Neutral,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,10,-HwX2H8Z4hY/9.mp4,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,-0.3333333432674408,Negative,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702
-NFrJFQijFE$_$1,-NFrJFQijFE,1,11,-NFrJFQijFE/1.mp4,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,0.3333333432674408,Positive,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f
-NFrJFQijFE$_$2,-NFrJFQijFE,2,12,-NFrJFQijFE/2.mp4,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,0.0,Neutral,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1
-THoVjtIkeU$_$12,-THoVjtIkeU,12,13,-THoVjtIkeU/12.mp4,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",2.0,Positive,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4
-THoVjtIkeU$_$2,-THoVjtIkeU,2,14,-THoVjtIkeU/2.mp4,I think social justice is extremely important for young people.,1.3333333730697632,Positive,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b
-THoVjtIkeU$_$6,-THoVjtIkeU,6,15,-THoVjtIkeU/6.mp4,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",2.6666667461395264,Positive,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,16,-UuX1xuaiiE/1.mp4,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,1.6666666269302368,Positive,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,17,-UuX1xuaiiE/0.mp4,^it's amazing to see their enthusiasm and their passion,2.6666667461395264,Positive,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,18,-UuX1xuaiiE/3.mp4,My goal is to become a human rights lawyer,0.3333333432674408,Positive,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,19,-UuX1xuaiiE/6.mp4,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",-0.3333333432674408,Negative,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,20,-a55Q6RWvTA/3.mp4,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",0.6666666865348816,Positive,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,21,-aNfi7CP8vM/7.mp4,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",0.0,Neutral,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,22,-aqamKhZ1Ec/0.mp4,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",-2.0,Negative,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,23,-dxfTGcXJoc/1.mp4,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",1.6666666269302368,Positive,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595
