sample_id,official_word_index,official_word,whisper_word_index,whisper_word,start_time_wav_s,end_time_wav_s,start_time_source_s,end_time_source_s,timestamp_source,timestamp_status,word_time_valid_mask,automatic_flags
-3g5yACwYnA$_$13,1,They've,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,2,been,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,3,able,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,4,to,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,5,find,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,6,solutions,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,7,or,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,8,at,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,9,least,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,10,bring,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,11,some,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,12,answers,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,13,to,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,14,the,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$13,15,table,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,1,We're,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,2,a,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,3,huge,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,4,user,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,5,of,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,6,adhesives,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,7,for,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,8,our,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,9,operation,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,10,called,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,11,flocking,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,12,and,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,13,we,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,14,don't,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,15,have,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,16,the,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,17,technical,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,18,inside,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,19,compounding,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,20,or,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,21,the,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,22,technical,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,23,expertise,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,24,to,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,25,do,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,26,these,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,27,types,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,28,of,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$3,29,things,,,,,,,,text_mismatch_no_original_time,False,
-3g5yACwYnA$_$2,1,Key,1,key,1.6599999999999984,2.459999999999999,1.6599999999999984,2.459999999999999,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,2,Polymer,2,polymer,2.459999999999999,3.26,2.459999999999999,3.26,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,3,brings,3,brings,3.26,3.54,3.26,3.54,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,4,a,4,a,3.54,3.72,3.54,3.72,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,5,technical,5,technical,3.72,4.02,3.72,4.02,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,6,aspect,6,aspect,4.02,4.58,4.02,4.58,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,7,to,7,to,4.58,4.98,4.58,4.98,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,8,our,8,our,4.98,5.92,4.98,5.92,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,9,operation,9,operation,5.92,6.34,5.92,6.34,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,10,that,10,that,6.34,6.62,6.34,6.62,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,11,we,11,we,6.62,6.78,6.62,6.78,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$2,12,don't,12,don't,6.78,6.98,6.78,6.98,Whisper small.en word timestamp estimate,whisper_estimate_auto_qc_pass,True,
